Tahun,Bulan,Tanaman,Produksi,Luas_Lahan,Prediksi
2023,3,Karet Kering,16.36,302.6,20.010361617565636
2023,4,Karet Kering,12.75,302.6,20.816422169127303
2023,5,Karet Kering,16.32,302.6,19.617429413428223
2023,6,Karet Kering,17.85,302.6,22.922725621629304
2023,7,Karet Kering,16.94,302.6,21.67281927423089
2023,8,Karet Kering,16.56,302.6,20.18792157409321
2023,9,Karet Kering,15.86,302.6,23.49317674875512
2023,10,Karet Kering,15.34,302.6,20.801317729092524
2023,11,Karet Kering,15.39,302.6,21.76168279314153
2023,12,Karet Kering,16.7,302.6,23.311617532894005
2023,1,Kopi,0.05,19.9,0.001516176907233976
2023,2,Kopi,0.05,19.9,-0.027654385618965067
2023,3,Kopi,0.01,19.9,0.025351744649504234
2023,4,Kopi,0.04,19.9,0.06669979035842684
2023,5,Kopi,0.4,19.9,0.1900156496679712
2023,6,Kopi,0.85,19.9,1.0470815001456857
2023,7,Kopi,0.89,19.9,1.5984458007325038
2023,8,Kopi,0.7,19.9,0.9674407405572168
2023,9,Kopi,0.22,19.9,0.4219565301625321
2023,10,Kopi,0.05,19.9,0.1648514824524265
2023,11,Kopi,0.04,19.9,0.09968887471237559
2023,12,Kopi,0.02,19.9,0.0499486219429036
2023,1,Minyak Sawit,2128.74,9192.2,2884.0125788028045
2023,2,Minyak Sawit,1966.1,9192.2,2262.1896779434696
2023,3,Minyak Sawit,2148.87,9192.2,2464.7717767325903
2023,4,Minyak Sawit,2160.63,9192.2,2445.4441937290776
2023,5,Minyak Sawit,2555.02,9192.2,2457.4965283021056
2023,6,Minyak Sawit,2534.14,9192.2,2475.726094013307
2023,7,Minyak Sawit,2763.03,9192.2,2482.4167460726076
2023,8,Minyak Sawit,2766.1,9192.2,2961.7924934993534
2023,9,Minyak Sawit,2790.73,9192.2,2982.6536982697007
2023,10,Minyak Sawit,3048.47,9192.2,3111.151818629238
2023,11,Minyak Sawit,3075.38,9192.2,3004.570171979469
2023,12,Minyak Sawit,2923.64,9192.2,2961.979841263795
2023,1,Teh,5.58,48.4,6.791538373865818
2023,2,Teh,3.98,48.4,6.850207879539588
2023,3,Teh,4.07,48.4,6.461787462291055
2023,4,Teh,5.19,48.4,6.456686686174796
2023,5,Teh,7.11,48.4,6.392041591366717
2023,6,Teh,6.16,48.4,7.492572299686049
2023,7,Teh,6.95,48.4,6.531511790814089
2023,8,Teh,7.04,48.4,6.60655738685412
2023,9,Teh,4.6,48.4,6.738727420925943
2023,10,Teh,5.39,48.4,5.620955011373889
2023,11,Teh,4.95,48.4,6.240778737939616
2023,12,Teh,6.8,48.4,6.221181703730991
2024,1,Gula Tebu,0.3,204.4,3.0073286693637833
2024,2,Gula Tebu,6.8,204.4,7.928450991361486
2024,3,Gula Tebu,21.2,204.4,28.140672501780912
2024,4,Gula Tebu,66.4,204.4,73.62545833091121
2024,5,Gula Tebu,85.12,204.4,70.40059423479752
2024,6,Gula Tebu,149.69,204.4,128.91632494569663
2024,7,Gula Tebu,146.36,204.4,133.1654662877553
2024,8,Gula Tebu,150.67,204.4,124.29518942509375
2024,9,Gula Tebu,118.43,204.4,113.61168646180322
2024,10,Gula Tebu,71.99,204.4,77.47314166499541
2024,11,Gula Tebu,30.43,204.4,39.019899240470124
2024,12,Gula Tebu,11.11,204.4,8.700722137253088
2024,1,Karet Kering,16.74,299.4,16.938912036169224
2024,2,Karet Kering,14.62,299.4,16.70847974123597
2024,3,Karet Kering,15.02,299.4,16.773238225825022
2024,4,Karet Kering,13.53,299.4,15.936355680885189
2024,5,Karet Kering,13.86,299.4,16.21388472642253
2024,6,Karet Kering,16.42,299.4,17.516295379803708
2024,7,Karet Kering,16.18,299.4,16.598164011465318
2024,8,Karet Kering,15.24,299.4,15.791149694844991
2024,9,Karet Kering,15.58,299.4,17.28874748274544
2024,10,Karet Kering,14.89,299.4,16.493958249608873
2024,11,Karet Kering,14.69,299.4,16.281747048155363
2024,12,Karet Kering,15.67,299.4,17.61166232884445
2024,1,Kopi,0.03,20.5,0.011014283898636651
2024,2,Kopi,0.03,20.5,0.021106722116696064
2024,3,Kopi,0.01,20.5,0.0636740614524279
2024,4,Kopi,0.03,20.5,0.07281057472228154
2024,5,Kopi,0.37,20.5,0.34068752277397063
2024,6,Kopi,0.9,20.5,0.8018167066504597
2024,7,Kopi,0.99,20.5,1.099979036467797
2024,8,Kopi,0.88,20.5,0.8175956569510648
2024,9,Kopi,0.29,20.5,0.21948992172040405
2024,10,Kopi,0.09,20.5,0.06106537863716103
2024,11,Kopi,0.05,20.5,0.007989405949421532
2024,12,Kopi,0.02,20.5,0.000462414550663813
2024,1,Minyak Sawit,1974.12,9222.0,2525.0033818802003
2024,2,Minyak Sawit,1869.77,9222.0,2131.614254080656
2024,3,Minyak Sawit,2068.45,9222.0,2109.428513166731
2024,4,Minyak Sawit,2278.02,9222.0,2331.825460388957
2024,5,Minyak Sawit,2417.21,9222.0,2282.434431061076
2024,6,Minyak Sawit,2487.07,9222.0,2469.39041745536
2024,7,Minyak Sawit,2672.73,9222.0,2606.2432786370036
2024,8,Minyak Sawit,2815.84,9222.0,2748.01116638234
2024,9,Minyak Sawit,2833.76,9222.0,2861.6366439016924
2024,10,Minyak Sawit,3221.78,9222.0,3034.3860610286656
2024,11,Minyak Sawit,3239.06,9222.0,3044.324263897374
2024,12,Minyak Sawit,3118.47,9222.0,3018.9012580210047
2024,1,Teh,6.9,54.7,6.9315147840504565
2024,2,Teh,5.5,54.7,6.426180040626678
2024,3,Teh,5.3,54.7,5.110837709707839
2024,4,Teh,5.9,54.7,5.69139423029196
2024,5,Teh,7.1,54.7,6.235180464222922
2024,6,Teh,6.8,54.7,6.53465124314116
2024,7,Teh,6.7,54.7,6.102455284998585
2024,8,Teh,7.0,54.7,6.456945648583342
2024,9,Teh,5.8,54.7,6.022961853602847
2024,10,Teh,6.08,54.7,5.733835676388221
2024,11,Teh,5.95,54.7,6.029774177271965
2024,12,Teh,6.74,54.7,6.0299883017791895
