Tahun,Tanaman,Bulan,Produksi,Suhu_Rata2_Nasional,Rata_Rata_Curah_Hujan_Nasional
2014,Minyak Sawit,8,1829.98,26.657695588084643,11.540603873840706
2014,Kopi,8,-,26.657695588084643,11.540603873840706
2014,Teh,8,8.12,26.657695588084643,11.540603873840706
2014,Gula Tebu,8,240.35,26.657695588084643,11.540603873840706
2014,Karet Kering,9,39.53,26.96824066828591,11.513870858978468
2014,Minyak Sawit,9,1745.77,26.96824066828591,11.513870858978468
2014,Kopi,9,-,26.96824066828591,11.513870858978468
2014,Teh,9,7.97,26.96824066828591,11.513870858978468
2014,Gula Tebu,9,184.14,26.96824066828591,11.513870858978468
2014,Karet Kering,10,41.9,27.351341172566144,10.425231008333894
2014,Minyak Sawit,10,1644.51,27.351341172566144,10.425231008333894
2014,Kopi,10,-,27.351341172566144,10.425231008333894
2014,Teh,10,8.42,27.351341172566144,10.425231008333894
2014,Gula Tebu,10,119.61,27.351341172566144,10.425231008333894
2014,Karet Kering,11,42.5,27.243719301775528,14.60139053126287
2014,Minyak Sawit,11,1572.18,27.243719301775528,14.60139053126287
2014,Kopi,11,-,27.243719301775528,14.60139053126287
2014,Teh,11,8.61,27.243719301775528,14.60139053126287
2014,Gula Tebu,11,38.34,27.243719301775528,14.60139053126287
2014,Karet Kering,12,45.12,27.078076244261645,15.86498376483158
2014,Minyak Sawit,12,1506.66,27.078076244261645,15.86498376483158
2014,Kopi,12,-,27.078076244261645,15.86498376483158
2014,Teh,12,8.78,27.078076244261645,15.86498376483158
2014,Gula Tebu,12,3.89,27.078076244261645,15.86498376483158
2015,Karet Kering,1,35.68,26.687716174817297,14.334857218401329
2015,Minyak Sawit,1,1564.6,26.687716174817297,14.334857218401329
2015,Kopi,1,-,26.687716174817297,14.334857218401329
2015,Teh,1,7.6,26.687716174817297,14.334857218401329
2015,Gula Tebu,1,0.5,26.687716174817297,14.334857218401329
2015,Karet Kering,2,35.56,26.722404765018556,15.154615357138455
2015,Minyak Sawit,2,1470.59,26.722404765018556,15.154615357138455
2015,Kopi,2,-,26.722404765018556,15.154615357138455
2015,Teh,2,6.4,26.722404765018556,15.154615357138455
2015,Gula Tebu,2,2.99,26.722404765018556,15.154615357138455
2015,Karet Kering,3,35.84,26.844029486980816,13.35903414324945
2015,Minyak Sawit,3,1611.54,26.844029486980816,13.35903414324945
2015,Kopi,3,-,26.844029486980816,13.35903414324945
2015,Teh,3,6.73,26.844029486980816,13.35903414324945
2015,Gula Tebu,3,4,26.844029486980816,13.35903414324945
2015,Karet Kering,4,31.9,27.055090552837,12.632346432115884
2015,Minyak Sawit,4,1713.73,27.055090552837,12.632346432115884
2015,Kopi,4,-,27.055090552837,12.632346432115884
2015,Teh,4,8.53,27.055090552837,12.632346432115884
2015,Gula Tebu,4,38.55,27.055090552837,12.632346432115884
2015,Karet Kering,5,41.58,27.054174551189245,11.945956442698376
2015,Minyak Sawit,5,1752.77,27.054174551189245,11.945956442698376
2015,Kopi,5,-,27.054174551189245,11.945956442698376
2015,Teh,5,7.86,27.054174551189245,11.945956442698376
2015,Gula Tebu,5,125.35,27.054174551189245,11.945956442698376
2015,Karet Kering,6,41.31,26.74660045406416,12.49734986923551
2015,Minyak Sawit,6,1778.8,26.74660045406416,12.49734986923551
2015,Kopi,6,-,26.74660045406416,12.49734986923551
2015,Teh,6,7.77,26.74660045406416,12.49734986923551
2015,Gula Tebu,6,177.89,26.74660045406416,12.49734986923551
2015,Karet Kering,7,35.21,26.872989157118063,8.473026596407434
2015,Minyak Sawit,7,1658.42,26.872989157118063,8.473026596407434
2015,Kopi,7,-,26.872989157118063,8.473026596407434
2015,Teh,7,6.47,26.872989157118063,8.473026596407434
2015,Gula Tebu,7,212.06,26.872989157118063,8.473026596407434
2015,Karet Kering,8,31,26.84783127455619,9.375993959708165
2015,Minyak Sawit,8,1975.09,26.84783127455619,9.375993959708165
2015,Kopi,8,-,26.84783127455619,9.375993959708165
2015,Teh,8,6.84,26.84783127455619,9.375993959708165
2015,Gula Tebu,8,297.4,26.84783127455619,9.375993959708165
2015,Karet Kering,9,74.03,27.06326767876037,9.504406833778894
2015,Minyak Sawit,9,1903.36,27.06326767876037,9.504406833778894
2015,Kopi,9,-,27.06326767876037,9.504406833778894
2015,Teh,9,6.32,27.06326767876037,9.504406833778894
2015,Gula Tebu,9,244.1,27.06326767876037,9.504406833778894
2015,Karet Kering,10,72.08,27.216911328786463,9.683334745663691
2015,Minyak Sawit,10,1782.41,27.216911328786463,9.683334745663691
2015,Kopi,10,-,27.216911328786463,9.683334745663691
2015,Teh,10,6.18,27.216911328786463,9.683334745663691
2015,Gula Tebu,10,91.04,27.216911328786463,9.683334745663691
2015,Karet Kering,11,63.85,27.52373014000501,13.217328928289255
2015,Minyak Sawit,11,1703.38,27.52373014000501,13.217328928289255
2015,Kopi,11,-,27.52373014000501,13.217328928289255
2015,Teh,11,5.94,27.52373014000501,13.217328928289255
