Tahun,Bulan,Tanaman,Prediksi,Suhu_Nasional_Rata2_Tahunan,Total_RR_Nasional_Tahunan,Luas_Lahan,lag1,lag3,Skenario
2025,1,Gula Tebu,14.456856959036557,33.58536603661716,1219852.0033333336,224.84000000000003,11.11,71.99,Optimistis
2025,2,Gula Tebu,19.879029858907046,33.58536603661716,1219852.0033333336,224.84000000000003,14.456856959036557,30.43,Optimistis
2025,3,Gula Tebu,35.43733655615763,33.58536603661716,1219852.0033333336,224.84000000000003,19.879029858907046,11.11,Optimistis
2025,4,Gula Tebu,77.66830035304312,33.58536603661716,1219852.0033333336,224.84000000000003,35.43733655615763,14.456856959036557,Optimistis
2025,5,Gula Tebu,118.40288066075257,33.58536603661716,1219852.0033333336,224.84000000000003,77.66830035304312,19.879029858907046,Optimistis
2025,6,Gula Tebu,150.78900656675748,33.58536603661716,1219852.0033333336,224.84000000000003,118.40288066075257,35.43733655615763,Optimistis
2025,7,Gula Tebu,145.08766740376655,33.58536603661716,1219852.0033333336,224.84000000000003,150.78900656675748,77.66830035304312,Optimistis
2025,8,Gula Tebu,156.18217467630933,33.58536603661716,1219852.0033333336,224.84000000000003,145.08766740376655,118.40288066075257,Optimistis
2025,9,Gula Tebu,122.92020736366803,33.58536603661716,1219852.0033333336,224.84000000000003,156.18217467630933,150.78900656675748,Optimistis
2025,10,Gula Tebu,82.81280101487832,33.58536603661716,1219852.0033333336,224.84000000000003,122.92020736366803,145.08766740376655,Optimistis
2025,11,Gula Tebu,41.87118499556976,33.58536603661716,1219852.0033333336,224.84000000000003,82.81280101487832,156.18217467630933,Optimistis
2025,12,Gula Tebu,25.794158533237976,33.58536603661716,1219852.0033333336,224.84000000000003,41.87118499556976,122.92020736366803,Optimistis
2026,1,Gula Tebu,22.760380813556353,36.943902640278885,1341837.2036666672,247.3240000000001,25.794158533237976,82.81280101487832,Optimistis
2026,2,Gula Tebu,27.712376269019288,36.943902640278885,1341837.2036666672,247.3240000000001,22.760380813556353,41.87118499556976,Optimistis
2026,3,Gula Tebu,36.24822467985395,36.943902640278885,1341837.2036666672,247.3240000000001,27.712376269019288,25.794158533237976,Optimistis
2026,4,Gula Tebu,79.79151659210267,36.943902640278885,1341837.2036666672,247.3240000000001,36.24822467985395,22.760380813556353,Optimistis
2026,5,Gula Tebu,119.80652917158667,36.943902640278885,1341837.2036666672,247.3240000000001,79.79151659210267,27.712376269019288,Optimistis
2026,6,Gula Tebu,150.44852862565978,36.943902640278885,1341837.2036666672,247.3240000000001,119.80652917158667,36.24822467985395,Optimistis
